ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,PromotionKey,CurrencyKey,SalesOrderNumber,OrderQuantity,SalesAmount
314,20200101,20200113,20200108,27606,1,100,SO43711,1,3578.27
311,20200101,20200113,20200108,13513,1,29,SO43712,1,3578.27
310,20200102,20200114,20200109,27601,1,100,SO43713,1,3578.27
311,20200102,20200114,20200109,13591,1,98,SO43714,1,3578.27
314,20200102,20200114,20200109,16483,1,6,SO43715,1,3578.27
311,20200102,20200114,20200109,16529,1,6,SO43716,1,3578.27
336,20200102,20200114,20200109,25249,1,6,SO43717,1,699.0982
311,20200103,20200115,20200110,27668,1,100,SO43718,1,3578.27
312,20200103,20200115,20200110,27612,1,100,SO43719,1,3578.27
311,20200103,20200115,20200110,13264,1,29,SO43720,1,3578.27
310,20200103,20200115,20200110,13590,1,98,SO43721,1,3578.27
312,20200104,20200116,20200111,13581,1,98,SO43722,1,3578.27
332,20200104,20200116,20200111,14520,1,100,SO43723,1,699.0982
311,20200104,20200116,20200111,16520,1,6,SO43724,1,3578.27
311,20200105,20200117,20200112,13258,1,29,SO43725,1,3578.27
332,20200105,20200117,20200112,14560,1,100,SO43726,1,699.0982
311,20200105,20200117,20200112,16607,1,6,SO43727,1,3578.27
313,20200106,20200118,20200113,27666,1,100,SO43728,1,3578.27
346,20200106,20200118,20200113,11238,1,98,SO43729,1,3399.99
346,20200106,20200118,20200113,25861,1,100,SO43730,1,3399.99
314,20200106,20200118,20200113,16629,1,6,SO43731,1,3578.27
350,20200106,20200118,20200113,11025,1,6,SO43732,1,3374.99
312,20200106,20200118,20200113,27577,1,100,SO43733,1,3578.27
312,20200107,20200119,20200114,27604,1,100,SO43734,1,3578.27
310,20200107,20200119,20200114,16522,1,6,SO43735,1,3578.27
346,20200107,20200119,20200114,11002,1,6,SO43736,1,3399.99
311,20200108,20200120,20200115,13261,1,29,SO43737,1,3578.27
312,20200108,20200120,20200115,11606,1,39,SO43738,1,3578.27
310,20200108,20200120,20200115,13563,1,98,SO43739,1,3578.27
312,20200108,20200120,20200115,16527,1,6,SO43740,1,3578.27
310,20200109,20200121,20200116,27671,1,100,SO43741,1,3578.27
314,20200109,20200121,20200116,13576,1,98,SO43742,1,3578.27
347,20200109,20200121,20200116,11007,1,6,SO43743,1,3399.99
313,20200109,20200121,20200116,16631,1,6,SO43744,1,3578.27
311,20200110,20200122,20200117,16514,1,6,SO43745,1,3578.27
312,20200110,20200122,20200117,16616,1,6,SO43746,1,3578.27
314,20200111,20200123,20200118,27623,1,100,SO43747,1,3578.27
313,20200111,20200123,20200118,27625,1,100,SO43748,1,3578.27
314,20200111,20200123,20200118,27636,1,100,SO43749,1,3578.27
311,20200111,20200123,20200118,11591,1,39,SO43750,1,3578.27
313,20200111,20200123,20200118,11592,1,39,SO43751,1,3578.27
311,20200111,20200123,20200118,13265,1,29,SO43752,1,3578.27
310,20200111,20200123,20200118,16482,1,6,SO43753,1,3578.27
312,20200112,20200124,20200119,27617,1,100,SO43754,1,3578.27
311,20200112,20200124,20200119,27670,1,100,SO43755,1,3578.27
332,20200112,20200124,20200119,19941,1,98,SO43756,1,699.0982
350,20200112,20200124,20200119,11017,1,6,SO43757,1,3374.99
310,20200113,20200125,20200120,27646,1,100,SO43758,1,3578.27
310,20200113,20200125,20200120,13257,1,29,SO43759,1,3578.27
314,20200113,20200125,20200120,16352,1,6,SO43760,1,3578.27
310,20200113,20200125,20200120,16493,1,6,SO43761,1,3578.27
314,20200114,20200126,20200121,27578,1,100,SO43762,1,3578.27
313,20200114,20200126,20200121,16525,1,6,SO43763,1,3578.27
310,20200114,20200126,20200121,16612,1,6,SO43764,1,3578.27
346,20200114,20200126,20200121,11010,1,6,SO43765,1,3399.99
313,20200115,20200127,20200122,16518,1,6,SO43766,1,3578.27
350,20200115,20200127,20200122,11001,1,6,SO43767,1,3374.99
312,20200116,20200128,20200123,27649,1,100,SO43768,1,3578.27
312,20200116,20200128,20200123,21659,1,19,SO43769,1,3578.27
312,20200116,20200128,20200123,27614,1,100,SO43770,1,3578.27
330,20200116,20200128,20200123,14559,1,100,SO43771,1,699.0982
312,20200116,20200128,20200123,16524,1,6,SO43772,1,3578.27
314,20200116,20200128,20200123,16526,1,6,SO43773,1,3578.27
313,20200116,20200128,20200123,16348,1,6,SO43774,1,3578.27
347,20200116,20200128,20200123,11027,1,6,SO43775,1,3399.99
314,20200117,20200129,20200124,13260,1,29,SO43776,1,3578.27
311,20200117,20200129,20200124,16515,1,6,SO43777,1,3578.27
345,20200117,20200129,20200124,11018,1,6,SO43778,1,3399.99
326,20200117,20200129,20200124,25252,1,6,SO43779,1,699.0982
311,20200118,20200130,20200125,11599,1,39,SO43780,1,3578.27
312,20200118,20200130,20200125,16495,1,6,SO43781,1,3578.27
312,20200118,20200130,20200125,16516,1,6,SO43782,1,3578.27
312,20200118,20200130,20200125,16620,1,6,SO43783,1,3578.27
310,20200119,20200131,20200126,27667,1,100,SO43784,1,3578.27
311,20200119,20200131,20200126,11601,1,39,SO43785,1,3578.27
311,20200119,20200131,20200126,11607,1,39,SO43786,1,3578.27
344,20200119,20200131,20200126,29385,1,29,SO43787,1,3399.99
351,20200119,20200131,20200126,11239,1,98,SO43788,1,3374.99
351,20200119,20200131,20200126,25865,1,100,SO43789,1,3374.99
344,20200119,20200131,20200126,25857,1,100,SO43790,1,3399.99
314,20200119,20200131,20200126,16484,1,6,SO43791,1,3578.27
312,20200119,20200131,20200126,16623,1,6,SO43792,1,3578.27
344,20200119,20200131,20200126,11000,1,6,SO43793,1,3399.99
347,20200119,20200131,20200126,11029,1,6,SO43794,1,3399.99
312,20200120,20200201,20200127,27615,1,100,SO43795,1,3578.27
342,20200120,20200201,20200127,17956,1,39,SO43796,1,699.0982
312,20200120,20200201,20200127,16345,1,6,SO43797,1,3578.27
310,20200120,20200201,20200127,16521,1,6,SO43798,1,3578.27
312,20200120,20200201,20200127,16636,1,6,SO43799,1,3578.27
311,20200121,20200202,20200128,21710,1,19,SO43800,1,3578.27
311,20200121,20200202,20200128,13583,1,98,SO43801,1,3578.27
312,20200121,20200202,20200128,11593,1,39,SO43802,1,3578.27
314,20200122,20200203,20200129,21741,1,19,SO43803,1,3578.27
310,20200122,20200203,20200129,13585,1,98,SO43804,1,3578.27
328,20200122,20200203,20200129,14510,1,100,SO43805,1,699.0982
312,20200122,20200203,20200129,16523,1,6,SO43806,1,3578.27
312,20200123,20200204,20200130,11611,1,39,SO43807,1,3578.27
313,20200123,20200204,20200130,13259,1,29,SO43808,1,3578.27
310,20200123,20200204,20200130,16350,1,6,SO43809,1,3578.27
345,20200123,20200204,20200130,11004,1,6,SO43810,1,3399.99
346,20200123,20200204,20200130,11026,1,6,SO43811,1,3399.99
312,20200124,20200205,20200131,27662,1,100,SO43812,1,3578.27
350,20200124,20200205,20200131,28390,1,39,SO43813,1,3374.99
350,20200124,20200205,20200131,25866,1,100,SO43814,1,3374.99
311,20200124,20200205,20200131,16494,1,6,SO43815,1,3578.27
314,20200124,20200205,20200131,16496,1,6,SO43816,1,3578.27
310,20200124,20200205,20200131,16519,1,6,SO43817,1,3578.27
312,20200124,20200205,20200131,16528,1,6,SO43818,1,3578.27
346,20200124,20200205,20200131,11006,1,6,SO43819,1,3399.99
312,20200125,20200206,20200201,27651,1,100,SO43820,1,3578.27
310,20200125,20200206,20200201,27663,1,100,SO43821,1,3578.27
313,20200125,20200206,20200201,27669,1,100,SO43822,1,3578.27
342,20200125,20200206,20200201,19942,1,98,SO43823,1,699.0982
338,20200125,20200206,20200201,14558,1,100,SO43824,1,699.0982
313,20200125,20200206,20200201,16349,1,6,SO43825,1,3578.27
